,IDs,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled,PAINS_match,Brenk_match
0,CHEMBL4113670,0.058,nM,C[C@@H]1CC(=O)N2C[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4)c4c(N)nccn34)CC[C@H]12,10.23657201,549.2100077320001,7,2,4.759000000000003,True,0,0.0
2,CHEMBL4113445,0.075,nM,Nc1nccn2c([C@@H]3CC[C@H]4CCOC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,10.12493874,551.189272288,8,2,4.732900000000003,True,0,0.0
3,CHEMBL4240879,0.079,nM,C=CS(=O)(=O)Nc1cccc(-c2ccc(C(N)=O)c3[nH]c4c(c23)CCC(C(C)(C)O)C4)c1C,10.10237291,467.187877408,4,4,4.003220000000002,True,0,0.0
4,CHEMBL4109744,0.081,nM,Nc1nccn2c([C@@H]3CC[C@H]4C[C@H](O)C(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,10.09151498,551.189272288,8,3,3.4838000000000013,True,0,0.0
5,CHEMBL4749037,0.083,nM,Nc1nccn2c([C@@H]3CC[C@H]4COC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,10.08092191,537.173622224,8,2,4.342800000000003,True,0,0.0
6,CHEMBL4109282,0.083,nM,Nc1nccn2c([C@@H]3CC[C@H]4COC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c12,10.08092191,555.164200412,8,2,4.481900000000003,True,0,0.0
7,CHEMBL3938520,0.085,nM,C[C@H]1CC(=O)N2C[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4)c4c(N)nccn34)CC[C@@H]12,10.07058107,549.2100077320001,7,2,4.759000000000003,True,0,0.0
8,CHEMBL3652656,0.09,nM,CC(C)(C)c1cc(F)c2c(=O)n(-c3cccc(-n4cc(C(N)=O)c(Nc5ccc(S(C)(=O)=O)cc5)n4)c3CO)ncc2c1,10.04575749,604.1904172479999,10,3,3.7463000000000015,True,0,0.0
11,CHEMBL4109792,0.092,nM,CN1CC[C@@H]2CC[C@@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4)c4c(N)nccn34)CN2C1=O,10.03621217,564.2209067640001,7,2,4.648100000000002,True,0,0.0
13,CHEMBL4108545,0.096,nM,C[C@H]1OC(=O)N2C[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4F)c4c(N)nccn34)CC[C@@H]12,10.01772877,569.1798504760001,8,2,4.870400000000004,True,0,0.0
14,CHEMBL4106978,0.1,nM,Nc1nccn2c([C@@H]3CC[C@H]4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,10.0,535.1943576680001,7,2,4.513000000000004,True,0,0.0
16,CHEMBL4097957,0.1,nM,Nc1nccn2c([C@H]3C[C@@H]4[C@H](C3)[C@H]4C(=O)O)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,10.0,522.162723192,7,3,4.4688000000000025,True,0,0.0
17,CHEMBL4079005,0.1,nM,Nc1nccn2c(C34C5C6C3C3C4C5C63C(=O)O)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c12,10.0,562.1376513160001,7,3,3.857700000000002,True,0,0.0
19,CHEMBL4110644,0.11,nM,C[C@H]1OC(=O)N2C[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4)c4c(N)nccn34)CC[C@@H]12,9.958607315,551.1892722880001,8,2,4.731300000000003,True,0,0.0
20,CHEMBL4108563,0.11,nM,Nc1nccn2c([C@@H]3CC[C@H]4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c12,9.958607315,553.184935856,7,2,4.652100000000004,True,0,0.0
21,CHEMBL4112025,0.12,nM,Nc1nccn2c([C@@H]3CC[C@H]4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)F)ccn4)cc3F)c12,9.920818754,535.1943576680001,7,2,4.570900000000004,True,0,0.0
22,CHEMBL4108825,0.12,nM,Nc1nccn2c([C@@H]3CC[C@H]4COCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c12,9.920818754,569.179850476,8,2,3.8885000000000014,True,0,0.0
23,CHEMBL3652680,0.12,nM,CC(=O)c1ccc(Nc2nn(-c3cccc(-n4ncc5cc(C(C)(C)C)ccc5c4=O)c3CO)cc2C(N)=O)cc1,9.920818754,550.23285344,9,3,4.4063000000000025,True,0,0.0
24,CHEMBL5088454,0.13,nM,Cn1cc(Nc2nccc(-c3ccc4c(c3)CCCCC4NC(=O)N3CC[C@@H](C(C)(C)C)C3)n2)cn1,9.886056648,487.3059588040001,6,2,5.465800000000004,True,0,0.0
26,CHEMBL4108593,0.13,nM,Nc1nccn2c([C@@H]3CC[C@H]4C[C@@H](O)C(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,9.886056648,551.189272288,8,3,3.4838000000000013,True,0,0.0
27,CHEMBL4108579,0.13,nM,Nc1nccn2c([C@@H]3CC[C@H]4CN(CCO)CC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,9.886056648,594.231471448,9,3,3.027100000000001,True,0,0.0
29,CHEMBL4108295,0.13,nM,C[C@H]1OC[C@@H]2CC[C@@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4)c4c(N)nccn34)CN2C1=O,9.886056648,565.2049223520002,8,2,4.137900000000002,True,0,0.0
30,CHEMBL4107482,0.13,nM,COc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc([C@@H]2CC[C@H]3[C@@H](C)OC(=O)N3C2)n2ccnc(N)c12,9.886056648,581.1998369720001,9,2,4.739900000000003,True,0,0.0
31,CHEMBL4109294,0.13,nM,Nc1nccn2c([C@@H]3CC[C@H]4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(OC5CC5)ccn4)cc3F)c12,9.886056648,541.223765976,8,2,4.174500000000003,True,0,0.0
33,CHEMBL3942777,0.14,nM,C[C@@H]1OC(=O)N2C[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4)c4c(N)nccn34)CC[C@@H]12,9.853871964,551.1892722880001,8,2,4.731300000000003,True,0,0.0
37,CHEMBL4784814,0.15,nM,C[C@H](O)C(=O)N1C[C@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c3c(N)nccn23)CC[C@@H]1C,9.823908741,585.2111506040001,8,3,4.259000000000002,True,0,0.0
41,CHEMBL4110388,0.16,nM,CCOc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc([C@@H]2CC[C@H]3CCC(=O)N3C2)n2ccnc(N)c12,9.795880017,579.220572416,8,2,4.911700000000003,True,0,0.0
43,CHEMBL4111650,0.16,nM,CCc1ccnc(NC(=O)c2ccc(-c3nc([C@@H]4CC[C@H]5CCC(=O)N5C4)n4ccnc(N)c34)cc2)c1,9.795880017,495.2382731680001,7,2,4.056600000000002,True,0,0.0
46,CHEMBL3922148,0.17,nM,C[C@@H]1OC(=O)N2C[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4F)c4c(N)nccn34)CC[C@@H]12,9.769551079,569.1798504760001,8,2,4.870400000000004,True,0,0.0
47,CHEMBL4744759,0.17,nM,C[C@H]1CC[C@@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c3c(N)nccn23)CN1C(=O)C1(C)COC1,9.769551079,611.2268006680001,8,2,4.914700000000003,True,0,0.0
49,CHEMBL4752314,0.17,nM,CC(=O)N1C[C@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c3c(N)nccn23)CC[C@@H]1C,9.769551079,555.2005859200001,7,2,4.898100000000003,True,0,0.0
51,CHEMBL4110653,0.17,nM,C[C@H]1OC(=O)N2C[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C6CC6)ccn5)cc4)c4c(N)nccn34)CC[C@@H]12,9.769551079,523.2331877880001,8,2,4.589900000000003,True,0,0.0
52,CHEMBL4113354,0.18,nM,Nc1nccn2c([C@@H]3CC[C@H]4CCC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C5CC5)ccn4)cc3)c12,9.744727495,507.238273168,7,2,4.371600000000004,True,0,0.0
53,CHEMBL3652668,0.18,nM,CC(C)(C)c1cc(F)c2c(=O)n(-c3cccc(-n4cc(C(N)=O)c(Nc5ccc(C#N)cn5)n4)c3CO)ncc2c1,9.744727495,552.2033648800001,10,3,3.609480000000002,True,0,0.0
58,CHEMBL4798236,0.19,nM,C[C@@H](O)C(=O)N1C[C@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c3c(N)nccn23)CC[C@@H]1C,9.721246399,585.2111506040001,8,3,4.259000000000002,True,0,0.0
59,CHEMBL4114929,0.19,nM,COc1cc(C(=O)Nc2cc(C(F)(F)F)ccn2)ccc1-c1nc([C@@H]2CC[C@H]3CCC(=O)N3C2)n2ccnc(N)c12,9.721246399,565.204922352,8,2,4.521600000000003,True,0,0.0
