,IDs,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
0,CHEMBL4113670,0.058,nM,C[C@@H]1CC(=O)N2C[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4)c4c(N)nccn34)CC[C@H]12,10.23657201,549.2100077320001,7,2,4.759000000000003,True
1,CHEMBL4648442,0.07,nM,C#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,10.15490196,356.164854132,3,3,1.7409399999999997,True
2,CHEMBL4113445,0.075,nM,Nc1nccn2c([C@@H]3CC[C@H]4CCOC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,10.12493874,551.189272288,8,2,4.732900000000003,True
3,CHEMBL4240879,0.079,nM,C=CS(=O)(=O)Nc1cccc(-c2ccc(C(N)=O)c3[nH]c4c(c23)CCC(C(C)(C)O)C4)c1C,10.10237291,467.187877408,4,4,4.003220000000002,True
4,CHEMBL4109744,0.081,nM,Nc1nccn2c([C@@H]3CC[C@H]4C[C@H](O)C(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,10.09151498,551.189272288,8,3,3.4838000000000013,True
5,CHEMBL4749037,0.083,nM,Nc1nccn2c([C@@H]3CC[C@H]4COC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,10.08092191,537.173622224,8,2,4.342800000000003,True
6,CHEMBL4109282,0.083,nM,Nc1nccn2c([C@@H]3CC[C@H]4COC(=O)N4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c12,10.08092191,555.164200412,8,2,4.481900000000003,True
7,CHEMBL3938520,0.085,nM,C[C@H]1CC(=O)N2C[C@H](c3nc(-c4ccc(C(=O)Nc5cc(C(F)(F)F)ccn5)cc4)c4c(N)nccn34)CC[C@@H]12,10.07058107,549.2100077320001,7,2,4.759000000000003,True
8,CHEMBL3652656,0.09,nM,CC(C)(C)c1cc(F)c2c(=O)n(-c3cccc(-n4cc(C(N)=O)c(Nc5ccc(S(C)(=O)=O)cc5)n4)c3CO)ncc2c1,10.04575749,604.1904172479999,10,3,3.7463000000000015,True
9,CHEMBL3652654,0.09,nM,CN1CCn2nc(Nc3nn(-c4cccc(-n5ncc6cc(C(C)(C)C)cc(F)c6c5=O)c4CO)cc3C(N)=O)cc2C1,10.04575749,585.2612141039999,11,3,2.9847,False
